system:time_start,sst
"Jan 29, 2018",
"Jan 30, 2018",
"Jan 31, 2018",
"Feb 1, 2018",
"Feb 2, 2018",
"Feb 3, 2018",30.145
"Feb 4, 2018",
"Feb 5, 2018",29.84
"Feb 6, 2018",29.44
"Feb 7, 2018",30.335
"Feb 8, 2018",30.435
"Feb 9, 2018",
"Feb 10, 2018",
"Feb 11, 2018",
"Feb 12, 2018",
"Feb 13, 2018",
"Feb 14, 2018",29.965
"Feb 15, 2018",
"Feb 16, 2018",
"Feb 17, 2018",
"Feb 18, 2018",29.605
"Feb 19, 2018",
"Feb 20, 2018",
"Feb 21, 2018",
"Feb 22, 2018",29.82
"Feb 23, 2018",
"Feb 24, 2018",
"Feb 25, 2018",
"Feb 26, 2018",
"Feb 27, 2018",
"Feb 28, 2018",30.485
"Mar 1, 2018",
"Mar 2, 2018",
"Mar 3, 2018",
"Mar 4, 2018",
"Mar 5, 2018",28.77
"Mar 6, 2018",
"Mar 7, 2018",
"Mar 8, 2018",
"Mar 9, 2018",
"Mar 10, 2018",
"Mar 11, 2018",29.695
"Mar 12, 2018",
"Mar 13, 2018",
"Mar 14, 2018",
"Mar 15, 2018",
"Mar 16, 2018",
"Mar 17, 2018",
"Mar 18, 2018",
"Mar 19, 2018",30.69
"Mar 20, 2018",31.26
"Mar 21, 2018",29.875
"Mar 22, 2018",
"Mar 23, 2018",30.06
"Mar 24, 2018",
"Mar 25, 2018",
"Mar 26, 2018",
"Mar 27, 2018",
"Mar 28, 2018",30.06
"Mar 29, 2018",29.885
"Mar 30, 2018",30.425
"Mar 31, 2018",
"Apr 1, 2018",
"Apr 2, 2018",
"Apr 3, 2018",
"Apr 4, 2018",
"Apr 5, 2018",
"Apr 6, 2018",
"Apr 7, 2018",
"Apr 8, 2018",31.12
"Apr 9, 2018",
"Apr 10, 2018",29.935
"Apr 11, 2018",
"Apr 12, 2018",
"Apr 13, 2018",29.29
"Apr 14, 2018",30.555
"Apr 15, 2018",30.49
"Apr 16, 2018",
"Apr 17, 2018",
"Apr 18, 2018",
"Apr 19, 2018",
"Apr 20, 2018",30.615
"Apr 21, 2018",30.75
"Apr 22, 2018",
"Apr 23, 2018",30.03
"Apr 24, 2018",
"Apr 25, 2018",
"Apr 26, 2018",
"Apr 27, 2018",
"Apr 28, 2018",30.955
"Apr 29, 2018",
"Apr 30, 2018",30.61
"May 1, 2018",
"May 2, 2018",
"May 3, 2018",29.805
"May 4, 2018",
"May 5, 2018",29.69
"May 6, 2018",
"May 7, 2018",
"May 8, 2018",
"May 9, 2018",
"May 10, 2018",
"May 11, 2018",
"May 12, 2018",
"May 13, 2018",
"May 14, 2018",
"May 15, 2018",
"May 16, 2018",
"May 17, 2018",
"May 18, 2018",
"May 19, 2018",
"May 20, 2018",
"May 21, 2018",
"May 22, 2018",
"May 23, 2018",28.63
"May 24, 2018",28.745
"May 25, 2018",
"May 26, 2018",28.475
"May 27, 2018",
"May 28, 2018",
"May 29, 2018",
"May 30, 2018",
"May 31, 2018",
"Jun 1, 2018",
"Jun 2, 2018",
"Jun 3, 2018",
"Jun 4, 2018",28.205
